@relation features-weka.filters.unsupervised.instance.RemovePercentage-P15.0-weka.filters.unsupervised.instance.RemovePercentage-P15.0

@attribute xMean numeric
@attribute xStdDev numeric
@attribute xIntqr numeric
@attribute yMean numeric
@attribute yStdDev numeric
@attribute yIntqr numeric
@attribute zMean numeric
@attribute zStdDev numeric
@attribute zIntqr numeric
@attribute CorrXY numeric
@attribute CorrXZ numeric
@attribute CorrYZ numeric
@attribute timeStamp numeric
@attribute class {sitting,walking,standing,lying,'on table',running}

@data
4.973016,5.480287,7.698218,-10.618118,12.828353,16.622295,0.201232,4.370022,5.021,-0.111685,0.151791,-0.325359,1445327114127.000064,running
5.25558,5.464257,8.012028,-10.308095,12.753386,17.387189,-0.361146,5.252791,5.70747,-0.096849,0.216543,-0.276485,1445327120147.000064,running
4.968964,5.566792,8.355261,-10.145435,12.313752,16.033836,0.268441,4.569813,5.481918,-0.104407,0.156562,-0.355863,1445327126187.000064,running
4.820034,5.003827,7.237306,-10.5547,12.061139,16.720369,-0.442214,5.665786,4.78565,-0.15845,0.165339,-0.084091,1445327132184.999936,running
5.198179,5.273299,7.913967,-10.356738,12.9489,18.161893,-0.449275,5.262708,5.648633,-0.193589,0.223921,-0.196815,1445327138247.000064,running
4.908685,5.522426,8.325847,-10.132623,13.494244,18.46592,-0.30636,5.830635,5.011195,-0.258538,0.193022,-0.204984,1445327144267.000064,running
5.00793,5.20096,8.100289,-10.192638,13.244728,19.034681,-0.18188,5.225959,5.3152,-0.262997,0.206719,-0.189821,1445327150287.000064,running
5.028719,5.235414,8.472945,-10.553133,13.864887,18.809159,-0.128794,5.237192,5.521145,-0.319366,0.105158,-0.124314,1445327156424.999936,running
5.301996,5.342465,9.198641,-10.322872,13.571907,19.103398,-0.126049,5.56627,5.344628,-0.321922,0.143952,-0.197638,1445327162536.999936,running
4.945428,5.414336,8.884824,-10.029587,13.689912,20.14286,-0.159914,5.161395,5.030813,-0.363577,0.097041,-0.13969,1445327168896.999936,running
4.919669,5.413006,7.904156,-10.326271,13.488199,19.289693,-0.376837,5.636206,5.462303,-0.299712,0.192591,-0.099198,1445327174896.999936,running
4.782376,5.410574,7.972805,-10.719322,12.257762,16.690945,-0.01033,4.398807,5.334815,-0.141955,0.213625,-0.280777,1445327180936,running
5.02035,5.588396,8.002228,-10.374521,12.56582,18.456092,-0.136116,4.867075,5.33482,-0.075817,0.196824,-0.269264,1445327186936.999936,running
4.892864,5.449004,7.619766,-10.610926,13.266467,17.544127,-0.185412,4.984661,5.687863,-0.208164,0.173498,-0.156463,1445327192936.999936,running
5.005836,5.287949,7.757058,-10.273444,12.972035,18.014786,-0.312767,4.653127,5.050423,-0.122458,0.114753,-0.170971,1445327198956.999936,running
4.927384,5.698494,8.482751,-10.515998,13.420386,17.975587,-0.202932,4.914314,5.168105,-0.185657,0.203319,-0.282327,1445327204996.999936,running
5.154375,5.579606,8.786761,-10.611057,13.599441,19.358346,0.134809,5.007525,5.550565,-0.179802,0.135914,-0.220798,1445327211036.999936,running
5.012768,5.677371,8.463136,-10.503052,14.221525,20.397833,-0.469674,5.736509,5.77612,-0.306346,0.250801,-0.190053,1445327217056.999936,running
9.824564,0.064741,0.07846,-2.30051,0.073037,0.11768,-0.392004,0.086442,0.078454,0.134515,0.020308,0.186902,1445365081608.999936,sitting
9.82731,0.06725,0.11768,-2.297372,0.067283,0.11768,-0.367292,0.077775,0.11768,0.179172,-0.041909,0.064151,1445365087750.000128,sitting
9.831755,0.077302,0.11768,-2.276451,0.11301,0.15691,-0.482879,0.13448,0.196133,0.363706,0.384913,0.109678,1445365093889.999872,sitting
9.851238,0.06454,0.07845,-2.220487,0.084321,0.11768,-0.326758,0.175138,0.274586,0.135109,0.019823,0.160281,1445365100660,sitting
9.869806,0.073348,0.11768,-2.139419,0.135173,0.11768,-0.184757,0.133743,0.196133,0.396983,0.20351,0.270992,1445365106848.999936,sitting
9.892819,0.063334,0.07845,-2.090124,0.065471,0.07846,-0.096105,0.080724,0.117679,0.091489,-0.123259,-0.113196,1445365113180.999936,sitting
9.891119,0.077029,0.11768,-2.045667,0.184021,0.23536,-0.102381,0.155975,0.196133,0.420375,0.381248,0.232823,1445365119342.000128,sitting
9.922109,0.06287,0.07846,-1.972967,0.069054,0.11768,0.05191,0.083833,0.11768,0.039068,-0.15673,0.027357,1445365125528.999936,sitting
9.9361,0.072913,0.07846,-1.980028,0.09295,0.11768,0.103689,0.089509,0.117679,0.139657,-0.042506,-0.05258,1445365131712,sitting
9.974148,0.10294,0.147093,-1.711195,0.28463,0.43149,-0.104866,0.37262,0.666852,0.48958,-0.142522,-0.597162,1445365137812,sitting
10.085942,0.123289,0.1177,-1.112073,0.334439,0.274588,-0.305314,0.241542,0.274586,0.507806,0.406846,0.076878,1445365143871.000064,sitting
10.115887,0.06233,0.0785,-1.018322,0.063174,0.078455,-0.200971,0.088978,0.1471,-0.033469,-0.090264,-0.003225,1445365150041.999872,sitting
10.112485,0.080351,0.0785,-1.041465,0.070516,0.117675,-0.250527,0.070695,0.11768,-0.014124,-0.101975,0.059046,1445365156120.999936,sitting
10.118763,0.073173,0.0785,-1.042381,0.068183,0.117675,-0.196133,0.076258,0.078454,0.157353,-0.137438,0.04157,1445365162220.999936,sitting
